,gloss,bbox,fps,frame_end,frame_start,instance_id,signer_id,source,split,url,variation_id,video_id
0,book,"[385, 37, 885, 720]",25,-1,1,0,118,aslbrick,train,http://aslbricks.org/New/ASL-Videos/book.mp4,0,69241
1,book,"[190, 25, 489, 370]",25,-1,1,1,90,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/BO/BOOK-418.mp4,0,65225
2,book,"[262, 1, 652, 480]",25,-1,1,2,110,valencia-asl,train,https://www.youtube.com/watch?v=0UsjUE-TXns,0,68011
3,book,"[123, 19, 516, 358]",25,60,1,3,113,lillybauer,train,https://www.youtube.com/watch?v=1QOYOZ3g-aY,0,68208
4,book,"[95, 0, 1180, 720]",25,-1,1,4,109,valencia-asl,train,https://www.youtube.com/watch?v=aGtIHKEdCds,0,68012
5,book,"[110, 25, 274, 240]",25,2249,2150,5,121,northtexas,val,https://www.youtube.com/watch?v=hjS0dQDgbjo,0,70212
6,book,"[153, 38, 395, 360]",25,3852,3732,6,121,northtexas,train,https://www.youtube.com/watch?v=WGfiiDgrq1I,0,70266
7,book,"[16, 2, 235, 240]",25,-1,1,7,49,aslpro,train,http://www.aslpro.com/main/b/book_english_grammar.swf,0,07085
8,book,"[16, 4, 239, 240]",25,-1,1,8,49,aslpro,train,http://www.aslpro.com/main/b/book_geography.swf,0,07086
9,book,"[8, 1, 253, 240]",25,-1,1,9,18,aslpro,train,http://www.aslpro.com/main/b/book_geometry.swf,0,07087
10,book,"[462, 44, 949, 720]",25,-1,1,10,31,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,0,07069
11,book,"[29, 4, 227, 240]",25,-1,1,11,18,aslpro,train,http://www.aslpro.com/main/b/book_history.swf,0,07088
12,book,"[22, 0, 226, 240]",25,-1,1,12,18,aslpro,train,http://www.aslpro.com/main/b/book_law.swf,0,07089
13,book,"[34, 2, 229, 240]",25,-1,1,13,18,aslpro,train,http://www.aslpro.com/main/b/book_literature.swf,0,07090
14,book,"[23, 1, 226, 240]",25,-1,1,14,18,aslpro,train,http://www.aslpro.com/main/b/book_math.swf,0,07091
15,book,"[31, 4, 220, 240]",25,-1,1,15,49,aslpro,test,http://www.aslpro.com/main/b/book_medicine.swf,0,07092
16,book,"[25, 0, 220, 240]",25,-1,1,16,18,aslpro,test,http://www.aslpro.com/main/b/book_music.swf,0,07093
17,book,"[234, 17, 524, 414]",25,-1,1,17,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4,0,07068
18,book,"[22, 2, 231, 240]",25,-1,1,18,18,aslpro,val,http://www.aslpro.com/main/b/book_photography.swf,0,07094
19,book,"[3, 2, 260, 240]",25,-1,1,19,18,aslpro,test,http://www.aslpro.com/main/b/book_science.swf,0,07095
20,book,"[21, 2, 228, 240]",25,-1,1,20,18,aslpro,val,http://www.aslpro.com/main/b/book_spelling.swf,0,07096
21,book,"[26, 3, 226, 240]",25,-1,1,21,49,aslpro,train,http://www.aslpro.com/main/b/book.swf,0,07097
22,book,"[131, 26, 526, 480]",25,-1,1,22,59,asldeafined,train,https://media.asldeafined.com/vocabulary/1466684225.687.mp4,0,07070
23,book,"[21, 3, 231, 240]",25,-1,1,23,18,aslpro,val,http://www.aslpro.com/main/b/book_trigonometry.swf,0,07098
24,book,"[162, 54, 528, 400]",25,-1,1,24,12,aslsearch,val,http://www.aslsearch.com/signs/videos/book.mp4,0,07099
25,book,"[70, 0, 268, 240]",25,-1,1,25,14,handspeak,train,https://www.handspeak.com/word/b/book2.mp4,0,07071
26,book,"[75, 0, 270, 240]",25,-1,1,26,14,handspeak,test,https://www.handspeak.com/word/b/book.mp4,0,07072
27,book,"[64, 0, 273, 240]",25,-1,1,27,14,handspeak,train,https://www.handspeak.com/word/b/books-pile.mp4,0,07073
28,book,"[128, 20, 383, 360]",25,-1,1,28,109,asllex,train,https://youtu.be/3-GrhsVs830,0,67424
29,book,"[82, 11, 212, 192]",25,-1,1,29,11,signingsavvy,train,https://www.signingsavvy.com/signs/mp4/14/14326.mp4,0,07074
30,book,"[386, 48, 942, 720]",25,-1,1,30,5,aslu,train,https://www.youtube.com/watch?v=Kwvw-K6GYW8,0,07075
31,book,"[362, 43, 945, 720]",25,-1,1,31,5,aslu,train,https://www.youtube.com/watch?v=XjWSfh50kAU,0,07076
32,book,"[25, 4, 223, 240]",25,-1,1,32,49,aslpro,train,http://www.aslpro.com/main/b/book_accounting.swf,0,07077
33,book,"[28, 4, 226, 240]",25,-1,1,33,18,aslpro,train,http://www.aslpro.com/main/b/book_algebra.swf,0,07078
34,book,"[15, 2, 238, 240]",25,-1,1,34,49,aslpro,train,http://www.aslpro.com/main/b/book_anatomy.swf,0,07079
35,book,"[28, 2, 226, 240]",25,-1,1,35,18,aslpro,train,http://www.aslpro.com/main/b/book_art_history.swf,0,07080
36,book,"[23, 2, 226, 240]",25,-1,1,36,18,aslpro,train,http://www.aslpro.com/main/b/book_art.swf,0,07081
37,book,"[30, 3, 228, 240]",25,-1,1,37,18,aslpro,train,http://www.aslpro.com/main/b/book_business.swf,0,07082
38,book,"[0, 3, 260, 240]",25,-1,1,38,18,aslpro,val,http://www.aslpro.com/main/b/book_chemistry.swf,0,07083
39,book,"[29, 4, 225, 240]",25,-1,1,39,18,aslpro,train,http://www.aslpro.com/main/b/book_coloring.swf,0,07084
40,drink,"[551, 68, 1350, 1080]",25,-1,1,0,115,aslbrick,val,http://aslbricks.org/New/ASL-Videos/drink.mp4,0,69302
41,drink,"[153, 11, 488, 370]",25,-1,1,1,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-119.mp4,0,65539
42,drink,"[142, 20, 501, 480]",25,5831,5710,2,121,northtexas,val,https://www.youtube.com/watch?v=F5Wef1_PtLk,0,70173
43,drink,"[112, 13, 529, 356]",25,71,1,3,113,lillybauer,val,https://www.youtube.com/watch?v=HZMTQJdBZ9g,0,68538
44,drink,"[110, 0, 1160, 720]",25,-1,1,4,109,valencia-asl,val,https://www.youtube.com/watch?v=KRc_WYI1DgA,0,68042
45,drink,"[312, 19, 908, 720]",25,54,1,5,115,lillybauer,train,https://www.youtube.com/watch?v=Lk2Vws8homw,0,68660
46,drink,"[116, 0, 1166, 720]",25,-1,1,6,109,valencia-asl,train,https://www.youtube.com/watch?v=Nc7rSopCpI8,0,68041
47,drink,"[300, 63, 882, 720]",25,-1,1,7,5,aslu,train,https://www.youtube.com/watch?v=537MWOtCl78,0,17725
48,drink,"[318, 29, 951, 720]",25,-1,1,8,5,aslu,train,https://www.youtube.com/watch?v=6gU3Ln98sWA,0,17726
49,drink,"[232, 55, 838, 720]",25,-1,1,9,65,nabboud,train,https://www.youtube.com/watch?v=Ddd2ZZNFhVI,0,17727
50,drink,"[337, 0, 994, 720]",25,-1,1,10,5,aslu,train,https://www.youtube.com/watch?v=g3rl9_LYqzI,0,17728
51,drink,"[196, 15, 521, 414]",25,-1,1,11,36,startasl,train,https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4,0,17710
52,drink,"[350, 0, 999, 720]",25,-1,1,12,5,aslu,train,https://www.youtube.com/watch?v=i0opsQ2zB1Q,0,17729
53,drink,"[334, 0, 997, 720]",25,-1,1,13,5,aslu,test,https://www.youtube.com/watch?v=k6cNmM9WgUs,0,17730
54,drink,"[348, 43, 933, 720]",25,-1,1,14,5,aslu,train,https://www.youtube.com/watch?v=LqJM7wcUixQ,0,17731
55,drink,"[0, 4, 206, 240]",25,-1,1,15,44,aslpro,train,http://www.aslpro.com/main/d/drink.swf,0,17732
56,drink,"[186, 63, 551, 400]",25,-1,1,16,12,aslsearch,train,http://www.aslsearch.com/signs/videos/drink-alcohol.mp4,0,17733
57,drink,"[167, 19, 480, 370]",25,-1,1,17,94,aslsignbank,train,https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4,0,65540
58,drink,"[183, 55, 552, 400]",25,-1,1,18,12,aslsearch,val,http://www.aslsearch.com/signs/videos/drink.mp4,0,17734
59,drink,"[289, 9, 783, 480]",25,-1,1,19,52,signschool,train,https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4,0,17711
